stt,match_ids,by,item_type,foody_item,catid,is_category_failed,name
66,11035567,relevancy,1,,100011,False,"Áo thun nam cổ tròn cotton Premium 5 màu mới trẻ trung, lịch lãm Basis AT04"
67,11035567,relevancy,1,,100011,False,Áo Nịt Ngực Tomboy Sb Trans Không Viền Sale Giá Sốc
68,11035567,relevancy,1,,100011,False,Áo sơ mi nam nữ dài tay Unisex Basic TRƠN Form rộng màu trắng và đen Chất cotton lụa mịn mát Bigsize Leevin Store
69,11035567,relevancy,1,,100011,False,Quần short cartoon THE 1992 nhiều họa tiết
70,11035567,relevancy,1,,100011,False,"Quần lót nam thun lạnh nhật bản, quần sịp đúc full 8 màu(hàng nhập khẩu)"
71,11035567,relevancy,1,,100011,False,[SALE GIÁ SHOCK] Bản Nịt Ngực Tomboy Chất Lượng Cao
72,11035567,relevancy,1,,100011,False,"Quần đùi nam thun cotton mặc ngủ thoải mái, chất lượng (BIG SIZE)"
73,11035567,relevancy,1,,100011,False,[Mã 154FASHIONSALE giảm 12% đơn 99K] Áo Hoodie Nỉ bông TRƠN màu Xám/Xám xanh UNISEX/Nam nữ unisex/ HOODIE TRƠN
74,11035567,relevancy,1,,100011,False,Combo 3 quần lót nam Trunk Modal (Gỗ sồi) kháng khuẩn thương hiệu Coolmate
75,11035567,relevancy,1,,100011,False,Quần thun đen ống rộng ống suông baggy nam nữ PHong cách unisex - vải co giãn tốt quần ulzzang
76,11035567,relevancy,1,,100009,False,CÀ VẠT NAM NỮ BẢN NHỎ 5CM - Cà vạt kỷ yếu học sinh sinh viên
77,11035567,relevancy,1,,100011,False," Tất Trơn nam nữ trắng đen cổ cao, cổ thấp thời trang BASIC Cao cấp"
78,11035567,relevancy,1,,100011,False,"Áo thun nam tay dài TOMIJUN Giữ nhiệt thể thao nam co giãn, giữ ấm, màu sắc trẻ trung và năng động"
79,11035567,relevancy,1,,100011,False,Tất vớ lười mắt cá chân nam nữ COMBO 5 ĐÔI cotton co giãn kháng khuẩn khử mùi thoáng khí
80,11035567,relevancy,1,,100011,False,"[Mã 154FASHIONSALE giảm 12% đơn 99K] Áo chống nắng nam nữ dày dặn cao cấp thấm hút mồ hôi, chống tia uv"
81,11035567,relevancy,1,,100011,False,[Có VIDEO + ẢNH THẬT] Áo sweater - Áo nỉ bông tay dài UNISEX NE346
82,11035567,relevancy,1,,100011,False,Bộ Quần Áo Thể Thao Nam Nhiều Màu Thời Trang Thiết Kế AVIANO Cao Cấp
83,11035567,relevancy,1,,100011,False,Áo Blazer Nam Form Rộng MrHero dài tay dáng unisex màu đen nâu phong cách Hàn Quốc BZ01 M.RO
84,11035567,relevancy,1,,100011,False,Tất nam 10 đôi cổ ngắn T&T hàng Việt Nam xuất khẩu ngăn ngừa hôi chân
85,11035567,relevancy,1,,100011,False,[SALE CỰC SỐC] Áo vest nam thời trang hàng cao cấp chuẩn form ôm dáng đẹp chuẩn từng đường kim mũi chỉ
86,11035567,relevancy,1,,100011,False,Quần Thun lạnh thể thao 2 túi khóa kéo vải dày co dãn 4 chiều có size Bự-QSTT012
